value,5-card,6-card,7-card,8-card,hand,rank
1,4,188,4324,64860,"['A', 'K', 'Q', 'J', 'T']",SF
2,4,184,4140,60720,"['K', 'Q', 'J', 'T', '9']",SF
3,4,184,4140,60720,"['Q', 'J', 'T', '9', '8']",SF
4,4,184,4140,60720,"['J', 'T', '9', '8', '7']",SF
5,4,184,4140,60720,"['T', '9', '8', '7', '6']",SF
6,4,184,4140,60720,"['9', '8', '7', '6', '5']",SF
7,4,184,4140,60720,"['8', '7', '6', '5', '4']",SF
8,4,184,4140,60720,"['7', '6', '5', '4', '3']",SF
9,4,184,4140,60720,"['6', '5', '4', '3', '2']",SF
10,4,184,4140,60720,"['5', '4', '3', '2', 'A']",SF
11,4,182,4052,58825,"['A', 'A', 'A', 'A', 'K']",4K
12,4,166,3364,44361,"['A', 'A', 'A', 'A', 'Q']",4K
13,4,150,2740,32485,"['A', 'A', 'A', 'A', 'J']",4K
14,4,134,2180,22945,"['A', 'A', 'A', 'A', 'T']",4K
15,4,118,1684,15485,"['A', 'A', 'A', 'A', '9']",4K
16,4,102,1252,9849,"['A', 'A', 'A', 'A', '8']",4K
17,4,86,884,5781,"['A', 'A', 'A', 'A', '7']",4K
18,4,70,580,3025,"['A', 'A', 'A', 'A', '6']",4K
19,4,54,340,1321,"['A', 'A', 'A', 'A', '5']",4K
20,4,38,164,425,"['A', 'A', 'A', 'A', '4']",4K
21,4,22,52,69,"['A', 'A', 'A', 'A', '3']",4K
22,4,6,4,1,"['A', 'A', 'A', 'A', '2']",4K
23,4,182,4052,58824,"['K', 'K', 'K', 'K', 'A']",4K
24,4,166,3364,44357,"['K', 'K', 'K', 'K', 'Q']",4K
25,4,150,2740,32485,"['K', 'K', 'K', 'K', 'J']",4K
26,4,134,2180,22945,"['K', 'K', 'K', 'K', 'T']",4K
27,4,118,1684,15485,"['K', 'K', 'K', 'K', '9']",4K
28,4,102,1252,9849,"['K', 'K', 'K', 'K', '8']",4K
29,4,86,884,5781,"['K', 'K', 'K', 'K', '7']",4K
30,4,70,580,3025,"['K', 'K', 'K', 'K', '6']",4K
31,4,54,340,1325,"['K', 'K', 'K', 'K', '5']",4K
32,4,38,164,425,"['K', 'K', 'K', 'K', '4']",4K
33,4,22,52,69,"['K', 'K', 'K', 'K', '3']",4K
34,4,6,4,1,"['K', 'K', 'K', 'K', '2']",4K
